subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,timestamp
1,qftentangled,29,61,"{'cp': 406, 'h': 30, 'measure': 29, 'cx': 28, 'swap': 14, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,851,"{'cx': 2070, 'rz': 1420, 'sx': 274, 'measure': 29, 'x': 28, 'barrier': 1}",1723430730.403727
1,random,18,161,"{'cx': 196, 'u2': 106, 'cu1': 67, 'h': 56, 'u1': 50, 'u3': 38, 'ry': 26, 'rx': 21, 'measure': 18, 'cu3': 14, 'rzz': 14, 'rz': 13, 's': 12, 'tdg': 12, 't': 12, 'ccx': 11, 'cry': 10, 'swap': 10, 'ch': 9, 'cz': 8, 'sx': 7, 'crz': 7, 'x': 7, 'crx': 7, 'cp': 6, 'cy': 6, 'cswap': 5, 'u': 4, 'p': 4, 'rxx': 3, 'sxdg': 2, 'y': 2, 'z': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1174,"{'cx': 2076, 'rz': 1303, 'sx': 630, 'x': 54, 'measure': 18, 'barrier': 1}",127,1135,"{'cx': 1954, 'rz': 1354, 'sx': 668, 'x': 45, 'measure': 18, 'barrier': 1}",1723431330.403727
1,ghz,46,47,"{'measure': 46, 'cx': 45, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,49,"{'measure': 46, 'cx': 45, 'rz': 2, 'sx': 1, 'barrier': 1}",1723431906.653727
1,dj,29,31,"{'h': 30, 'cx': 28, 'measure': 28, 'u2': 27, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,119,"{'rz': 109, 'cx': 78, 'sx': 61, 'measure': 28, 'x': 5, 'barrier': 1}",1723432459.153727
1,qft,36,73,"{'cp': 630, 'h': 36, 'measure': 36, 'swap': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1039,"{'cx': 3047, 'rz': 2053, 'sx': 516, 'x': 86, 'measure': 36, 'barrier': 1}",1723432987.903727
1,qpeexact,49,146,"{'cp': 1176, 'h': 96, 'measure': 48, 'swap': 24, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1933,"{'cx': 5742, 'rz': 4647, 'sx': 1940, 'x': 127, 'measure': 48, 'barrier': 1}",1723433492.903727
1,qnn,7,65,"{'cx': 90, 'p': 42, 'u2': 14, 'ry': 14, 'measure': 7, 'barrier': 1}",7,211,"{'cx': 188, 'rz': 139, 'sx': 68, 'measure': 7, 'x': 5, 'barrier': 1}",16,173,"{'cx': 180, 'rz': 119, 'sx': 58, 'measure': 7, 'x': 1, 'barrier': 1}",27,172,"{'cx': 180, 'rz': 119, 'sx': 58, 'measure': 7, 'x': 2, 'barrier': 1}",127,179,"{'cx': 182, 'rz': 122, 'sx': 61, 'measure': 7, 'x': 1, 'barrier': 1}",1723433974.153727
1,ae,2,6,"{'cx': 2, 'u': 2, 'measure': 2, 'u2': 1, 'u3': 1, 'h': 1, 'barrier': 1}",7,10,"{'rz': 7, 'sx': 4, 'cx': 2, 'measure': 2, 'x': 1, 'barrier': 1}",16,10,"{'rz': 9, 'sx': 4, 'cx': 2, 'measure': 2, 'x': 1, 'barrier': 1}",27,10,"{'rz': 7, 'sx': 4, 'cx': 2, 'measure': 2, 'x': 1, 'barrier': 1}",127,10,"{'rz': 9, 'sx': 4, 'cx': 2, 'measure': 2, 'x': 1, 'barrier': 1}",1723434431.653727
1,random,33,352,"{'cx': 639, 'u2': 319, 'cu1': 186, 'u1': 168, 'h': 153, 'u3': 141, 'ry': 115, 'ccx': 48, 'cu3': 45, 's': 42, 'rx': 41, 'rzz': 41, 'rz': 40, 'crz': 38, 'tdg': 37, 'cswap': 34, 't': 33, 'measure': 33, 'x': 29, 'swap': 26, 'sx': 23, 'crx': 23, 'cy': 21, 'cz': 21, 'cry': 20, 'cp': 20, 'p': 17, 'y': 17, 'ch': 16, 'rxx': 12, 'z': 10, 'sdg': 8, 'sxdg': 7, 'u': 5, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,3687,"{'cx': 9703, 'rz': 4463, 'sx': 2127, 'x': 212, 'measure': 33, 'barrier': 1}",1723434865.403727
1,qpeinexact,3,8,"{'h': 4, 'cp': 3, 'measure': 2, 'x': 1, 'swap': 1, 'barrier': 1}",7,26,"{'rz': 18, 'cx': 10, 'sx': 7, 'measure': 2, 'x': 1, 'barrier': 1}",16,26,"{'rz': 18, 'cx': 10, 'sx': 7, 'x': 2, 'measure': 2, 'barrier': 1}",27,26,"{'rz': 18, 'cx': 10, 'sx': 7, 'x': 2, 'measure': 2, 'barrier': 1}",127,26,"{'rz': 18, 'cx': 10, 'sx': 7, 'x': 2, 'measure': 2, 'barrier': 1}",1723435275.403727
