subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,timestamp
1,realamprandom,38,154,"{'cx': 2109, 'ry': 152, 'measure': 38, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1488,"{'cx': 6243, 'rz': 2518, 'sx': 1572, 'x': 180, 'measure': 38, 'barrier': 1}",1723430730.411578
1,ae,32,186,"{'cp': 465, 'cx': 62, 'u': 32, 'measure': 32, 'u2': 31, 'u3': 31, 'h': 31, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1140,"{'cx': 2115, 'rz': 1980, 'sx': 764, 'x': 55, 'measure': 32, 'barrier': 1}",1723431330.411578
1,qft,10,21,"{'cp': 45, 'h': 10, 'measure': 10, 'swap': 5, 'barrier': 1}",-1,-1,{},16,214,"{'cx': 212, 'rz': 175, 'sx': 54, 'x': 11, 'measure': 10, 'barrier': 1}",27,196,"{'cx': 217, 'rz': 171, 'sx': 50, 'measure': 10, 'x': 9, 'barrier': 1}",127,183,"{'cx': 210, 'rz': 151, 'sx': 34, 'measure': 10, 'x': 6, 'barrier': 1}",1723431333.961054
1,ghz,7,8,"{'measure': 7, 'cx': 6, 'h': 1, 'barrier': 1}",7,19,"{'cx': 10, 'rz': 7, 'measure': 7, 'sx': 5, 'barrier': 1}",16,10,"{'measure': 7, 'cx': 6, 'rz': 2, 'sx': 1, 'barrier': 1}",27,10,"{'measure': 7, 'cx': 6, 'rz': 2, 'sx': 1, 'barrier': 1}",127,10,"{'measure': 7, 'cx': 6, 'rz': 2, 'sx': 1, 'barrier': 1}",1723431373.360177
1,realamprandom,7,30,"{'cx': 63, 'ry': 28, 'measure': 7, 'barrier': 1}",7,157,"{'cx': 141, 'rz': 114, 'sx': 85, 'measure': 7, 'x': 4, 'barrier': 1}",16,165,"{'cx': 159, 'rz': 99, 'sx': 84, 'measure': 7, 'x': 5, 'barrier': 1}",27,161,"{'cx': 134, 'rz': 127, 'sx': 98, 'measure': 7, 'x': 5, 'barrier': 1}",127,161,"{'cx': 152, 'rz': 99, 'sx': 83, 'measure': 7, 'x': 2, 'barrier': 1}",1723431421.708211
1,twolocalrandom,9,38,"{'cx': 108, 'ry': 36, 'measure': 9, 'barrier': 1}",-1,-1,{},16,207,"{'cx': 278, 'rz': 139, 'sx': 113, 'measure': 9, 'x': 4, 'barrier': 1}",27,252,"{'cx': 284, 'rz': 191, 'sx': 150, 'measure': 9, 'x': 8, 'barrier': 1}",127,247,"{'cx': 297, 'rz': 156, 'sx': 125, 'measure': 9, 'x': 7, 'barrier': 1}",1723431460.344353
1,ae,11,60,"{'cp': 45, 'cx': 20, 'u': 11, 'measure': 11, 'u2': 10, 'u3': 10, 'h': 10, 'barrier': 1}",-1,-1,{},16,277,"{'rz': 230, 'cx': 212, 'sx': 91, 'measure': 11, 'x': 8, 'barrier': 1}",27,283,"{'rz': 235, 'cx': 205, 'sx': 96, 'measure': 11, 'x': 7, 'barrier': 1}",127,280,"{'rz': 248, 'cx': 198, 'sx': 112, 'measure': 11, 'x': 6, 'barrier': 1}",1723431489.605568
1,qnn,10,95,"{'cx': 189, 'p': 90, 'u2': 20, 'ry': 20, 'measure': 10, 'barrier': 1}",-1,-1,{},16,297,"{'cx': 381, 'rz': 286, 'sx': 137, 'x': 13, 'measure': 10, 'barrier': 1}",27,284,"{'cx': 400, 'rz': 231, 'sx': 106, 'measure': 10, 'x': 8, 'barrier': 1}",127,324,"{'cx': 393, 'rz': 247, 'sx': 109, 'x': 10, 'measure': 10, 'barrier': 1}",1723431520.82003
1,qnn,26,255,"{'cx': 1325, 'p': 650, 'u2': 52, 'ry': 52, 'measure': 26, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1175,"{'cx': 2715, 'rz': 2179, 'sx': 968, 'x': 193, 'measure': 26, 'barrier': 1}",127,785,"{'cx': 2649, 'rz': 2015, 'sx': 961, 'x': 98, 'measure': 26, 'barrier': 1}",1723431576.977362
1,qftentangled,4,11,"{'cp': 6, 'h': 5, 'measure': 4, 'cx': 3, 'swap': 2, 'barrier': 1}",7,53,"{'cx': 30, 'rz': 20, 'sx': 5, 'measure': 4, 'barrier': 1}",16,53,"{'cx': 30, 'rz': 20, 'sx': 5, 'measure': 4, 'barrier': 1}",27,53,"{'cx': 30, 'rz': 20, 'sx': 5, 'measure': 4, 'barrier': 1}",127,49,"{'cx': 36, 'rz': 21, 'sx': 5, 'measure': 4, 'barrier': 1}",1723431633.954541
