subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,timestamp
1,twolocalrandom,19,78,"{'cx': 513, 'ry': 76, 'measure': 19, 'barrier': 1}",-1,-1,{},-1,-1,{},27,383,"{'cx': 1344, 'rz': 242, 'sx': 210, 'measure': 19, 'x': 6, 'barrier': 1}",127,724,"{'cx': 1638, 'rz': 563, 'sx': 420, 'x': 29, 'measure': 19, 'barrier': 1}",1723430730.396284
1,random,10,56,"{'cx': 48, 'u2': 25, 'u3': 15, 'u1': 14, 'h': 11, 'measure': 10, 'cu1': 9, 'rx': 6, 'tdg': 5, 'sx': 5, 'cy': 5, 'swap': 5, 't': 4, 's': 4, 'cu3': 4, 'rxx': 3, 'ry': 3, 'rzz': 3, 'crz': 3, 'ccx': 2, 'rz': 2, 'cz': 2, 'u': 2, 'sxdg': 2, 'ch': 2, 'cswap': 1, 'p': 1, 'cry': 1, 'y': 1, 'cp': 1, 'z': 1, 'sdg': 1, 'barrier': 1}",-1,-1,{},16,339,"{'cx': 324, 'rz': 293, 'sx': 142, 'x': 20, 'measure': 10, 'barrier': 1}",27,365,"{'cx': 345, 'rz': 290, 'sx': 147, 'x': 24, 'measure': 10, 'barrier': 1}",127,266,"{'cx': 327, 'rz': 291, 'sx': 149, 'x': 22, 'measure': 10, 'barrier': 1}",1723431330.396284
1,qnn,34,335,"{'cx': 2277, 'p': 1122, 'u2': 68, 'ry': 68, 'measure': 34, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1204,"{'rz': 4310, 'cx': 4267, 'sx': 2291, 'x': 219, 'measure': 34, 'barrier': 1}",1723431930.396284
1,su2random,20,82,"{'cx': 570, 'u3': 80, 'measure': 20, 'barrier': 1}",-1,-1,{},-1,-1,{},27,400,"{'cx': 1412, 'rz': 457, 'sx': 350, 'measure': 20, 'x': 16, 'barrier': 1}",127,410,"{'cx': 1556, 'sx': 160, 'rz': 160, 'measure': 20, 'barrier': 1}",1723432530.396284
1,qft,23,47,"{'cp': 253, 'h': 23, 'measure': 23, 'swap': 11, 'barrier': 1}",-1,-1,{},-1,-1,{},27,542,"{'cx': 1235, 'rz': 936, 'sx': 287, 'x': 42, 'measure': 23, 'barrier': 1}",127,518,"{'rz': 1213, 'cx': 1046, 'sx': 557, 'x': 53, 'measure': 23, 'barrier': 1}",1723433130.396284
1,ghz,27,28,"{'measure': 27, 'cx': 26, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,83,"{'cx': 57, 'measure': 27, 'rz': 24, 'sx': 17, 'barrier': 1}",127,30,"{'measure': 27, 'cx': 26, 'rz': 2, 'sx': 1, 'barrier': 1}",1723434630.396284
1,qpeinexact,28,83,"{'cp': 378, 'h': 54, 'measure': 27, 'swap': 13, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1038,"{'cx': 2073, 'rz': 1403, 'sx': 362, 'x': 54, 'measure': 27, 'barrier': 1}",1723434723.605119
1,qpeexact,38,113,"{'cp': 703, 'h': 74, 'measure': 37, 'swap': 18, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1515,"{'cx': 3650, 'rz': 2539, 'sx': 781, 'x': 85, 'measure': 37, 'barrier': 1}",1723434896.068361
1,ae,20,114,"{'cp': 171, 'cx': 38, 'u': 20, 'measure': 20, 'u2': 19, 'u3': 19, 'h': 19, 'barrier': 1}",-1,-1,{},-1,-1,{},27,728,"{'cx': 864, 'rz': 744, 'sx': 254, 'x': 28, 'measure': 20, 'barrier': 1}",127,653,"{'cx': 837, 'rz': 827, 'sx': 312, 'x': 26, 'measure': 20, 'barrier': 1}",1723434920.875133
1,qpeinexact,12,35,"{'cp': 66, 'h': 22, 'measure': 11, 'swap': 5, 'x': 1, 'barrier': 1}",-1,-1,{},16,333,"{'cx': 328, 'rz': 304, 'sx': 105, 'x': 18, 'measure': 11, 'barrier': 1}",27,350,"{'cx': 327, 'rz': 255, 'sx': 69, 'x': 11, 'measure': 11, 'barrier': 1}",127,366,"{'cx': 322, 'rz': 264, 'sx': 71, 'x': 13, 'measure': 11, 'barrier': 1}",1723435055.721271
